TEAM_ID,GP,FG3A,SEASON_YEAR_FULL
1612709929,33,956,2021-22
1611661323,32,625,2021-22
1610612742,87,3195,2021-22
1611661321,32,740,2021-22
1612709909,32,1252,2021-22
1610612743,87,3095,2021-22
1610612765,87,3013,2021-22
1612709910,34,1344,2021-22
240,27,591,2021-22
1610612744,89,3451,2021-22
1612709917,32,1125,2021-22
1612709922,33,1199,2021-22
208,27,612,2021-22
209,26,602,2021-22
210,28,588,2021-22
231,27,625,2021-22
1610612745,87,3362,2021-22
1611661325,32,552,2021-22
1610612754,87,3039,2021-22
1612709911,32,1065,2021-22
212,27,671,2021-22
213,28,573,2021-22
214,28,656,2021-22
1610612746,87,2961,2021-22
1612709925,32,1263,2021-22
215,28,587,2021-22
1611661319,32,432,2021-22
1612709921,33,1315,2021-22
1610612747,89,3001,2021-22
1611661320,32,645,2021-22
216,28,643,2021-22
1612709915,32,1354,2021-22
217,26,545,2021-22
1610612763,90,2920,2021-22
1612709926,34,1159,2021-22
1610612748,89,3133,2021-22
1610612749,87,3303,2021-22
1611661324,32,635,2021-22
1610612750,87,3514,2021-22
1612709932,32,1157,2021-22
218,28,671,2021-22
1610612740,87,2771,2021-22
1610612752,88,3252,2021-22
1611661313,32,887,2021-22
1612709889,35,1190,2021-22
1610612760,87,3212,2021-22
1610612753,87,3185,2021-22
220,26,652,2021-22
1610612755,87,2756,2021-22
1611661317,32,697,2021-22
1610612756,87,2771,2021-22
221,26,640,2021-22
1610612757,87,3152,2021-22
1612709920,32,1108,2021-22
222,28,521,2021-22
1612709908,34,1438,2021-22
1610612758,89,2911,2021-22
1612709903,32,1099,2021-22
1610612759,90,2860,2021-22
1612709902,32,1220,2021-22
1611661328,32,725,2021-22
1612709904,35,1171,2021-22
1612709905,32,1032,2021-22
1612709914,33,984,2021-22
227,27,662,2021-22
1612709918,34,1153,2021-22
1610612761,87,2956,2021-22
1610612762,87,3448,2021-22
1810612762,3,77,2021-22
1710612762,3,90,2021-22
229,27,561,2021-22
1611661322,32,878,2021-22
1610612764,86,2646,2021-22
1612709919,32,1146,2021-22
1612709923,34,1108,2021-22
1612709927,32,1232,2021-22
202,26,556,2021-22
1611661330,36,771,2022-23
1610612737,87,2624,2022-23
1612709890,32,913,2022-23
1612709913,32,969,2022-23
